,emitterName,latentVector,completionPercentage,jumpActionsPerformed,killsTotal,livesLeft,coinsCollected,remainingTime (20-timeSpent),calc_higher_level_non_empty_blocks,calc_num_enemies
12,CMA-ME,"[ 0.05161787 -0.20911007 -0.21319914 -0.23265636  0.37754183  0.17135886
 -0.42045502 -0.17881012 -0.18772263  0.20365031 -0.09588507  0.05013706
  0.1181549   0.05120223 -0.37829296 -0.24381262  0.27079396 -0.03528921
  0.04347352 -0.06784295 -0.01890287 -0.15406841  0.0719568  -0.26517144
 -0.50814302 -0.40128546  0.12214339  0.10529104 -0.05361766  0.32205664
  0.34104661 -0.3094715 ]",1.0,4,1,0,0,17300,14,9
13,CMA-ME,"[-0.26880575 -0.3988647   0.00169216  0.24595888  0.00755488  0.1311377
 -0.08106027  0.08172755  0.2830393  -0.13637481 -0.18847891  0.16143215
  0.22562592  0.30170185  0.33739501  0.10530914 -0.26024344  0.21899089
  0.13765683  0.06428411  0.6726975   0.02496691  0.14946006  0.30544435
 -0.04009106  0.20652795  0.14017438  0.04563162 -0.22420277 -0.0902486
 -0.04821183 -0.12734662]",0.8156388998031616,3,1,0,0,17420,44,5
14,CMA-ME,"[-0.03012282  0.16167408 -0.25302524  0.04046915 -0.24114153 -0.00632022
 -0.15683623  0.01095287 -0.17528892 -0.1413932  -0.01920786 -0.00873062
 -0.05758346 -0.00779541  0.12541962 -0.01722305  0.25113862 -0.04119029
 -0.09672734  0.10494914 -0.19404668 -0.02296531 -0.30550313 -0.01972583
 -0.06269108  0.11511728  0.08910421  0.19775911  0.08644856  0.12776787
 -0.27807318  0.10512143]",0.9952232241630554,5,1,0,0,17120,3,3
15,CMA-ME,"[-0.0162725  -0.06553187 -0.16664216  0.0620525  -0.03136545 -0.00837412
 -0.03645481 -0.10450852  0.24332248 -0.38357277 -0.18114043 -0.1547244
  0.33029697  0.20091219  0.05993883 -0.08477677 -0.28963981 -0.11934048
  0.11901419  0.14201699 -0.01082387 -0.42910529 -0.24083265  0.06270507
  0.11122448 -0.11859719  0.03546361 -0.22174428 -0.09899819 -0.02442624
  0.19326811  0.13887309]",0.8138288259506226,3,1,0,0,17720,51,7
16,CMA-ME,"[ 0.34345529  0.20914752 -0.24790163 -0.05427532  0.44701285  0.37171927
 -0.26261778 -0.29207147  0.18133062 -0.06120691 -0.38102833 -0.03600471
  0.23937163  0.33315802 -0.12804074 -0.2745133   0.08524854 -0.13724741
 -0.37643215 -0.00527137 -0.0074268   0.28151119  0.28094235  0.19666352
 -0.15605364 -0.10428221  0.32304999  0.25986373 -0.56500132 -0.07961767
 -0.15063249  0.18401747]",1.0,5,0,0,0,17150,16,2
17,CMA-ME,"[ 0.14577371 -0.1080142  -0.13771825  0.12257369 -0.36495158  0.12226799
 -0.09621977  0.41058926 -0.02741186  0.11854962 -0.08719226  0.07661405
 -0.14179032  0.06918543  0.33306119 -0.10428362  0.2418326   0.1232053
 -0.3770509   0.21414207  0.02200488  0.13184614 -0.29585588  0.22914122
  0.36371273 -0.25138749 -0.06234685 -0.07660267  0.34460315  0.00978051
 -0.25759223 -0.15596339]",1.0,5,0,0,0,16700,8,2
18,CMA-ME,"[ 0.15070432  0.01844367  0.12937846  0.25146796  0.11092684  0.21485648
  0.13590934  0.05011839  0.16631523 -0.21189622  0.19780703  0.16436314
 -0.18783865 -0.10371243  0.06046031  0.12238749 -0.15866255  0.05270824
 -0.17222921  0.24657029 -0.08675158 -0.4162066   0.1623626   0.19294855
  0.19075327  0.06082469 -0.1825069   0.23154708 -0.06014329 -0.28122253
 -0.1750066   0.25253285]",0.8261634707450867,2,0,0,0,17720,30,1
19,CMA-ME,"[ 0.16763062 -0.19673297 -0.07777038 -0.11536342  0.10788499  0.1726301
 -0.30292429 -0.31010983  0.00323297  0.28832344 -0.22116153  0.22905296
  0.19387769 -0.05963845 -0.24015557 -0.10644504 -0.18377078  0.06776186
  0.24287808  0.10332663  0.11586782  0.34038596  0.03516154 -0.24784206
  0.26036868  0.18728993  0.02441139 -0.00563661 -0.23678685 -0.20206052
 -0.18636871  0.08934191]",0.9154044985771179,4,1,0,0,16610,13,2
20,CMA-ME,"[-0.00612972 -0.11081417 -0.07037878 -0.01193875 -0.25680905  0.19225983
  0.2268277   0.21820192 -0.03282279  0.27939653 -0.09560223  0.03628964
 -0.0630559   0.16036806  0.06978709  0.23426428  0.19299741 -0.24485675
 -0.23465354  0.17871714 -0.01013111  0.02053671  0.02244869 -0.10333427
  0.50564436  0.09969047 -0.19145134  0.17768865 -0.2841785   0.04669021
 -0.10183947  0.23857421]",1.0,7,0,0,0,17000,9,2
21,CMA-ME,"[-0.01510247  0.42537469  0.23270252 -0.05665916  0.14860914 -0.16851272
 -0.25864307  0.19936501  0.34782752 -0.06453609 -0.22205386  0.0263298
 -0.19011734  0.00804397  0.41725002  0.06474362  0.22104447  0.1460012
 -0.22197664 -0.19198986 -0.14954876  0.10038716 -0.29026891 -0.1485816
 -0.19805683  0.07174594 -0.09262756  0.1051518  -0.05265872  0.24999869
 -0.07070279  0.07487344]",1.0,6,1,0,0,17000,2,3
