,emitterName,latentVector,completionPercentage,jumpActionsPerformed,killsTotal,livesLeft,coinsCollected,remainingTime (20-timeSpent),calc_higher_level_non_empty_blocks,calc_num_enemies
12,Random,"[-0.8557455   0.04209281 -0.13774112  0.78791908 -0.66689715  1.80866194
  0.03598197 -2.20803657 -0.97780724 -0.41010055  0.10455655  0.32907314
  1.72200747  0.00801103  0.12880329  0.77291851  0.78029591 -1.98562532
 -0.48361513 -1.80191941  0.69367852  2.43931169 -1.42354609  0.2147101
  1.51049714 -0.18904776 -1.26146605  0.03978266  0.92616257 -0.21372255
 -0.94061348  2.19510828]",0.9997286796569824,5,0,0,0,17060,17,4
13,Random,"[ 0.73688898  0.23372063  2.14819479  0.6036351   0.8012111   2.90251523
 -0.68520785 -0.77227439 -1.24041428 -0.34101407  0.02693651  0.29412582
  1.54997674 -2.0323487  -1.36537882 -0.21422181 -0.08349016 -0.70079193
  0.90002868 -1.58902318  1.12035297 -0.53360028 -1.01769846 -1.49144147
  0.0961785  -1.16070653 -0.0432938   1.46553262 -0.23316011 -1.82055459
 -0.03463523  0.59855357]",1.0,4,0,0,0,17000,12,1
14,Random,"[ 1.45834318 -0.62567924 -0.80346947 -1.32479055  2.34403266 -0.48613091
  0.52612239 -0.67500511 -0.87885016 -0.47601948 -0.68343883 -2.25591749
 -0.47945512  1.2248929   1.22458734 -0.03589658 -1.052692   -1.41218411
 -0.20179671  1.33314344 -0.87070323  0.55280882  0.59896191 -1.03846777
 -0.44967198 -0.88371894  1.09625582  0.99434193 -1.36399345  1.35796289
 -0.34962388 -1.0674076 ]",0.8529662489891052,4,2,0,0,17480,54,2
15,Random,"[ 0.09526613  0.13020624 -0.01127798 -0.28290434  0.63306563  1.36721367
 -1.54433323  0.21345795  1.46534133 -0.44702132  0.07432769  1.97004315
  1.52065916 -1.17460321  0.04803467  0.12279552 -0.25457114  0.01093546
 -0.64593141  0.12287589 -1.61575572  0.51258562  1.44952225  1.37243761
 -0.69550043 -2.57564091 -0.56057704 -0.66532027 -0.2918518  -0.27240223
 -0.2867802  -0.72236367]",0.8509531021118164,5,1,0,0,17660,53,1
16,Random,"[-1.00754829 -0.59674732 -0.28000973  0.56271856 -0.64659653  1.81402585
  0.99648052  0.50828711  1.46762727  0.47111535 -0.07432192  1.34516424
 -0.45608752 -0.58084039 -1.09679853  2.46731237 -0.55621468 -0.17703571
 -2.12294799 -0.69740036  1.93308838 -1.12501928 -0.87416314 -1.7935313
 -0.37716758 -0.38814519  0.04801116 -0.29104036 -0.3388066   1.35141623
 -0.66948773  1.19431626]",1.0,5,1,0,0,17060,14,7
17,Random,"[-0.56931368  0.54522506  0.20156521 -1.0085216   0.15482834 -1.95948543
  0.87931308 -0.49878531  1.45355025  1.30291838 -0.76880364 -2.01544682
 -0.53464215 -0.75878706  0.92894657 -0.01609733  0.55450688 -1.73639719
  0.71008214 -0.20418527  0.03554169  2.5516142   0.01713483  0.79782688
 -1.71360573 -0.27961256  0.42039036  0.08647823 -0.00504732 -1.90795899
 -0.41693409  1.94981571]",1.0,4,0,0,0,17000,11,1
18,Random,"[-1.96044180e+00  9.16580962e-01 -4.55873069e-01 -2.13715284e-01
  4.26091086e-01  6.26313849e-01  1.69145597e+00  3.48688112e-01
  2.34421200e-01  1.01857953e+00 -9.78991190e-01  7.22259005e-01
  2.01090491e-01  9.30088856e-01  8.91561503e-01 -2.58604157e-02
  4.47883754e-01  1.66826966e-01  3.09483556e-04 -4.08876793e-01
 -3.98022066e-01  3.88219550e-01  1.29766631e+00  4.95312242e-01
  2.54260007e+00  1.36467628e+00 -7.26463277e-02  2.94082378e-01
 -4.22497227e-01 -5.41199304e-01 -1.32811283e+00  9.05743352e-01]",1.0,4,0,0,0,16880,4,2
19,Random,"[-1.11362296  0.24806956 -2.27415997  0.67237167 -1.2983002  -0.92182767
 -0.34316691 -1.13382238  1.33940475 -0.68907076 -2.38794711  1.2081471
  0.18380058 -0.52791202  0.3271289  -1.11786573  0.38299954 -2.53282534
  0.72234602 -0.57252263  0.74032979 -0.51425014  0.38544389 -0.1263678
  1.01631462  0.07414934  0.70116321 -1.08237398 -0.15469868  0.49194894
 -0.25521951  0.4177211 ]",0.9899198412895203,6,0,0,0,16940,14,2
20,Random,"[ 0.35178451  1.43354751 -1.09728901 -0.1523357  -1.07745622 -0.34385273
 -1.16728342 -1.10992598  0.94239348  1.18565578 -0.71361222 -0.27127672
  0.52702103 -0.31701456 -0.81860945  0.08212527 -0.19172202  0.32476469
 -1.89507534  1.26242469 -0.17372715  1.64488644 -0.38898343 -0.62068623
  1.26097552  1.69641263  2.04841293 -1.16586536 -0.82060908  0.60547671
  0.38454882  0.0458406 ]",1.0,7,0,0,0,17120,9,2
21,Random,"[-1.32323055  0.53119629  0.25664745 -1.70011772  0.03603135  0.57038435
 -0.96074241 -0.55327452  0.63834072 -1.42868981  0.23218876 -0.41940635
  1.33674251  0.14215297 -1.97853542 -0.15177387  0.17431798 -2.07995166
 -0.77053462  1.16716717 -0.2968788   0.73760239 -0.76317087 -1.06418591
 -1.14125972  1.5288315  -1.01723976  0.53874869  1.23600655 -1.15168196
  0.14525265 -0.03843411]",0.8294223546981812,3,5,0,0,17330,17,10
22,Random,"[ 0.41864272 -0.21357634  1.04174708 -0.61384465 -0.05866141  1.33625026
 -1.32933178 -0.49176941  0.67380623 -1.4591401  -1.38369972 -0.37075872
 -1.70946029 -0.32249588 -1.43628638  0.52544383  1.78585485 -0.94367782
 -0.04148074  0.45283048  0.75346314 -0.33290917  0.50807255  1.8237817
 -0.22004429 -1.59297257  0.66493044  0.62854583 -0.74916925 -1.12393825
  0.18132574 -2.20838949]",1.0,5,0,0,0,16940,15,2
23,Random,"[ 0.36411903 -0.70244491 -0.70412051 -0.44333     0.38151888  0.14493357
 -0.15161058  0.08189749 -0.35167092 -1.63909681 -0.90007293  0.07346497
 -0.24801906 -0.38847204  0.10246377  0.31561316 -1.64122592 -0.13120253
  0.62301471 -0.14259291 -0.39184911  0.2557865   0.38655234  0.16468352
 -0.75104147 -1.34650804  1.81605528  1.30378388 -0.28876147 -1.00267096
 -0.49984884  1.06334512]",0.8509531021118164,5,1,0,0,17660,53,1
24,Random,"[ 0.35027324 -0.76163625 -1.94303189 -1.35113133 -0.25603834  0.93331015
  0.37905282  0.95176414 -0.79310933  0.43240445 -0.99104479  0.39234873
 -1.06930447  0.43590602 -0.50930546  0.65782442  0.09997626  0.12754828
  0.47216333 -0.05955431 -2.40843961  1.22316683 -0.45038613  1.59353393
 -0.06219866  0.75184632 -0.80642816 -0.55314481 -0.1039864   1.0017505
 -0.01993425 -0.72656312]",0.8138288259506226,2,4,0,0,17720,17,9
25,Random,"[-0.70186378  0.06370917  2.54553689  0.17158523  0.37526187  0.02449744
 -1.28524909 -0.46226319 -0.57276146  0.22404411  0.20686599  0.17581008
  0.83421075 -0.18544517  0.75471863 -0.31768707 -0.16421692  1.34826388
  0.51067966  0.61959485  1.27892927  2.01909621 -0.37655279  0.0261716
 -1.24766387  1.06157211  0.94004025 -0.01085935  0.00511958 -0.64258926
 -0.10343926  0.58505203]",1.0,4,0,0,0,16760,32,1
26,Random,"[-0.94199736 -0.63914262 -1.77218895 -0.52792716 -1.87342784  1.08503954
  0.9075175  -1.85353809 -0.45370534 -0.46374112 -0.53454094  0.05253752
 -1.24826725  0.76790208  1.06528253 -1.25285399  0.69816498  0.47612076
 -0.63799245 -0.82649393  0.72255246 -1.75779712 -0.55913206  0.5045199
 -0.20004131 -0.12618428 -0.11254488  0.2510063  -0.77826262 -0.72362427
 -0.46850725  0.27126134]",1.0,7,1,0,0,16640,17,6
27,Random,"[ 0.37257064  2.46054278  0.83885823 -2.10552067 -0.31414199 -1.00421542
 -0.21652657  0.19868036 -0.26094276  0.01178943  0.601647   -0.19529078
  2.68217398 -0.18937008  0.45895787 -0.57245564 -0.6364576  -0.47262352
 -0.56376071 -0.55188263 -0.23676827  0.64811216 -0.41885363 -1.07148475
  0.19185835  0.14192265  2.35930474  1.06904742 -1.59433013  0.19700429
 -0.91581073  1.45434289]",1.0,7,0,0,0,16940,20,6
28,Random,"[-1.57090751 -1.28039232  0.39455735 -0.08624904  0.56172727 -0.79606382
  0.5458067   0.14406083  0.14072876 -0.38960074  0.9031454  -0.24109479
  1.08879054 -0.00458307 -0.65453604 -1.14347548 -1.151959   -0.91899147
 -0.05594526  0.92249248  0.20344066  0.17070129  2.57286376  0.4921066
  0.99564247  1.51697054  0.32518182  0.54461313 -1.43176044  1.95894094
 -0.02062036 -0.83615866]",0.8529662489891052,4,2,0,0,17480,54,2
29,Random,"[-0.42003846  0.19479438  0.34074204  2.08230454 -0.92484144  1.04194445
 -1.45010294 -0.62783297 -1.08320966 -0.9137808  -0.35739109  0.80871453
 -0.61087999 -0.41446118  0.20977915 -1.65247431  2.32439774  1.94828678
  1.58319357 -0.34950413  2.13901161  0.09064427 -0.34133068  1.28797367
  2.29742842 -0.31753876 -0.85228809  0.15080929 -0.15933088 -0.58428201
 -1.20952383  0.82555571]",0.9899198412895203,6,0,0,0,16940,14,2
30,Random,"[-0.52758383  0.11351928 -1.21974878 -0.58243266  0.61005775 -1.47317935
  0.40374754  0.89918071  0.43226513  1.76254676 -0.28270692  1.08297126
  1.06468717 -0.5826488  -1.37344481  0.83030321 -0.27425414 -0.15957751
  0.17884404  0.39805989  1.94328603 -1.22099086 -0.59178698 -0.81339089
 -0.68575967  0.49390699  0.86313229  0.03261854  1.02426857  0.57564501
 -0.56374187 -1.47454557]",1.0,6,0,0,0,16640,14,4
31,Random,"[ 1.54937877 -0.0271632  -1.04759962 -2.06921903 -0.95041633 -0.43118609
  0.04310471 -1.52682932  0.18549666 -0.27020798 -1.3186795   0.78373963
 -1.01698953  0.15887549  0.05611252  0.61542767  0.40954485 -0.00319342
 -0.24883609  0.80216318 -0.06750597  0.66232177 -1.2049119   0.92466868
  0.70268982  1.17849196 -0.04036713 -0.64787957 -1.98188621 -0.33820286
 -0.23940081  0.50907235]",1.0,6,0,0,0,17000,17,4
32,Random,"[-0.00595466 -1.63087833 -0.07446333  0.44150558 -0.67391043  0.52742005
  1.07485756  1.19707046  1.21310724 -0.99747307 -0.30472533  1.06668855
  0.22085544 -1.73666541 -0.39774497 -2.30682575  1.78849853 -0.37618524
  0.35592625 -0.17957143  0.09586132 -0.94224159 -2.53141174  0.13514768
 -0.54875327 -0.33267474 -1.24563648  0.63565549  0.76063178  0.80248129
  0.62321284 -0.78075532]",0.9952232241630554,5,1,0,0,17120,3,3
33,Random,"[ 0.37320136  0.37219569 -1.94985135 -0.13871252 -0.65129803 -0.20425103
 -0.96566446  0.06865369  0.4099339   0.57824151  0.45670059 -0.06835483
  0.06448625 -1.05765139  0.18950303 -0.21578107  1.56552524  0.38823926
  1.07695602 -1.6384358   0.79351941 -0.10618143 -0.49179962  0.2774205
  1.262916   -0.75700405 -0.35078197  2.65627417 -2.31823111 -0.90308807
 -1.66213623 -0.55111733]",1.0,5,0,0,0,17060,14,4
34,Random,"[-0.84352366 -1.39077179  0.08579229 -1.70059581  0.88115882  0.99119896
  1.73171665 -1.29197523 -0.95544294  0.36689021  0.92601241  2.1162563
 -0.70350811  1.18662461  2.33218161  1.3780191   0.43265374 -0.22707295
  0.33864088  0.50807643 -0.89231534 -2.583715   -3.17846394 -0.2513519
 -1.35069071  1.94950445  0.42088504  0.10549817  0.26687321 -0.34147127
 -1.58228114  0.9768355 ]",1.0,6,1,0,0,16700,16,7
35,Random,"[ 0.28555732 -0.61778993 -0.26295231 -1.96496175  2.35673967  0.46007724
 -0.03489451  0.92232054 -0.1136097   0.14909703  0.35433531 -0.48895371
 -1.41668877 -0.41820571  0.20438914 -0.60133733  0.63874675 -1.57522809
  0.70435814 -0.38566062  0.76825684 -0.89339692 -1.23633377  2.20544451
  0.52260697  0.09400097  0.6292408   0.89611121  0.0377638   1.26430279
  0.18175569 -1.30907097]",0.8156468272209167,3,1,0,0,17480,47,5
36,Random,"[ 1.20142467  0.72227867  0.62264787 -0.6264079   0.80274795 -0.34085301
 -0.42459411 -0.05911505 -0.27389858  0.00767072 -0.95520156  0.1113278
  0.46979754 -1.1585392  -0.14194016 -2.75107707 -0.47753826 -0.27763476
 -1.47082502  1.25390132  0.96028893  0.32219184 -0.65732082 -0.08315753
  0.34363997  1.56423255 -1.20175417 -0.17908232  0.01403508  0.31309403
 -0.89391769  0.06861116]",1.0,5,0,0,0,16760,31,2
37,Random,"[-1.05341045 -1.71519636  0.4286936  -0.55138735  0.55807301 -0.76286199
 -0.11455167 -0.74121823 -1.09513773  1.19487106 -0.4776812   1.88202365
  0.03972273 -0.34984015  0.64244468  1.53371175 -1.70168374 -0.33752207
 -0.15802147  0.41751453 -0.03779738 -0.55623437 -0.00828172 -0.66511637
  0.18567458  0.39062878 -0.58983414  0.23016495  0.84100725 -0.19715634
  0.16929001 -1.15530198]",1.0,7,0,0,0,16700,14,4
38,Random,"[-0.35801958 -1.88002978  1.16857798 -0.46681943 -1.67426124 -0.87331966
 -0.89575616 -0.76348856  0.56014833  0.22869849  1.66254485 -0.22355632
  0.27560618 -0.06365872  1.28539347 -0.86044026 -1.46108652  1.65420986
  0.44375039  0.06989395  0.31089882  0.19680393 -1.31076571 -0.52676625
 -1.93926602 -1.46504619 -1.66459073 -1.60377256 -0.17214252  0.65831138
  0.68962312 -0.22773446]",0.9899601936340332,5,1,0,0,17000,11,2
39,Random,"[ 8.66842973e-02 -1.45220724e+00  1.39815171e+00 -3.82662906e-01
  5.24605789e-01 -5.47604111e-01 -6.09432754e-01  6.39504051e-01
  1.07600445e-01  8.73673210e-01  1.02278987e+00 -8.30604064e-01
 -9.64866016e-01 -5.25925274e-02 -2.70263759e-01  1.75453402e+00
  1.08844861e-04 -5.53319084e-02  1.47671571e+00  4.35117692e-01
  1.46722744e+00 -9.06380398e-01  1.21913291e+00 -5.61964541e-01
 -3.58191287e-01  1.22052809e+00  9.13628369e-01  8.47994654e-01
  1.10158635e-02 -9.92717118e-01 -1.22966153e+00  1.53366845e-01]",1.0,5,0,0,0,16940,16,3
40,Random,"[-0.00475056 -0.66071124  0.07813451  0.33120898 -0.62884619  1.01981896
 -0.41935105  0.51080558  0.57059993 -0.48720982 -0.23432446 -0.48425071
  0.4278393   1.19031492 -0.43199058  0.82337493 -1.56418966 -0.66639722
 -0.27747769 -1.92348461  0.62104072 -0.77211421 -0.53259069 -1.31968427
  1.51247689  0.31901397  0.11519055 -0.05638433 -0.15749747 -0.69422107
  1.090229    0.08730761]",1.0,4,0,0,0,17000,13,1
41,Random,"[-1.61871306  0.83677763 -0.42013889  1.83118766  0.02200157  1.9824132
 -0.7726726  -1.53186754  2.55529047  0.35158209 -0.48888607  0.6847785
  0.59126698  2.26316485 -0.33878645  0.98502595  0.44074816 -2.49796781
 -1.01722859  0.66852558 -1.35266957 -1.09968503 -2.86941285 -0.51716169
 -0.6733844   0.67682681 -1.51622808  0.17761924 -0.12916331  1.78449084
  0.56839488 -0.30556974]",1.0,9,1,0,0,15620,13,7
