,emitterName,latentVector,completionPercentage,jumpActionsPerformed,killsTotal,livesLeft,coinsCollected,remainingTime (20-timeSpent),calc_higher_level_non_empty_blocks,calc_num_enemies
12,CMA-ES,"[ 0.08283028 -0.86311454  0.24099867  0.27044655  0.06005305  0.92910754
 -0.87538253  0.28716959  0.91892573 -0.34593076 -0.23314626 -0.25431507
  0.80629741  0.19824798 -0.34886509  0.03972197  0.58762939  0.31604282
  0.59506207  0.38085291 -0.02808599  0.14009149 -0.96374695 -0.45812841
  0.21714187 -0.15218057 -0.04396014  0.09914833 -0.23685929  0.20221837
 -0.81419325 -0.22198601]",1.0,5,1,0,0,17210,0,3
13,CMA-ES,"[-0.01742106 -0.24563318  0.23266826  0.48972974  0.46357281 -0.3371611
  0.44394288  0.18431394  0.01616686  0.17804628 -0.4912531  -0.88609814
  0.10136721  0.99493901  0.34924318  0.5959073  -0.62489283 -0.56081404
  0.22191778  0.09833813 -0.9646627   0.99733642 -0.3111059  -0.12766574
 -1.05343258 -0.01308644  0.08854153 -0.54490546  0.32019594 -0.56972052
  0.01690741  0.22244062]",1.0,5,1,0,0,17240,20,6
14,CMA-ES,"[-0.40843163 -0.14618503  0.00474305  0.10089287 -0.11921776  0.46630374
  0.02567944  0.56401625 -0.45978994  0.67419216 -0.59827794 -0.08925395
  0.05624662 -0.83712942  0.2164051  -0.69568733  0.80543585  0.34018201
  0.32316946 -0.14240605  0.25003578 -0.31451873  0.66374063  0.30444531
 -0.67228854 -1.03483801 -0.26650339  0.46467849  0.39460399  0.51243087
  0.2392185  -0.25175904]",0.8263235688209534,3,0,0,0,17600,51,6
15,CMA-ES,"[ 0.28372773  0.0797345   0.32255131 -0.44733741 -0.4163679  -0.63254482
 -0.02985695 -0.49379152  1.28132668  0.01121535  0.07219969 -0.03615696
  0.28702988 -0.60379845  0.0955231  -0.26825276 -1.20779699 -0.2180978
 -0.0331927   0.83198273  1.04162634 -0.03374987  0.13148889 -0.13943725
  0.44809731  0.83534872  0.264361   -0.54216216 -0.32140695 -0.07198186
  0.11932687  0.25145893]",1.0,4,1,0,0,16880,4,3
16,CMA-ES,"[-0.02546382 -0.25998675 -1.32294728 -0.36649938  0.14709873 -0.53197587
  0.28748703 -0.13688029  0.22379395  0.09259302  0.57365491  0.22344815
 -0.62546918 -0.12046324 -0.13618361  0.00439802 -0.77498385  0.79547028
  0.71406247 -0.11509479 -0.03139028 -1.13213516  0.43006873  0.30302805
  0.80764986 -0.12773885 -0.83134735 -0.12266992 -0.74011634  0.49977655
 -0.04085847  0.21026115]",1.0,6,1,0,0,17000,2,2
17,CMA-ES,"[-0.19372782 -0.77257348  0.20988629 -0.09530487 -0.34921481  0.22196357
  0.41518468 -0.0825334   0.00179499  0.7633786  -0.30732275 -0.44727181
 -0.21854383 -0.02121467  0.08900513 -0.05718064 -0.30956679  0.36350664
 -0.83841525 -0.26362592 -0.60398628 -1.25172795  0.15961621 -0.41466796
 -0.02354613  0.55212392 -0.26875286  0.36866115  0.21362097 -0.31024708
 -0.75730374 -0.42842488]",1.0,5,1,0,0,17060,14,5
18,CMA-ES,"[ 0.0336887   1.25462406 -0.48895301 -0.21292577  0.9132837  -0.83233634
 -0.24562779 -0.2626612   0.07161948 -0.42999915  0.12027633 -0.09829121
  0.4367513   0.71942603  0.06944775  0.07366222 -0.3026721   1.05928375
  0.46480752 -0.07026021 -0.23121736 -0.72156753 -0.49467515 -0.33387107
  0.14605115 -0.38481015  0.07593949  0.41827044  0.23357341  0.64499972
 -0.2975574   0.28570449]",0.8156388998031616,3,1,0,0,17420,46,5
19,CMA-ES,"[ 0.68251035 -0.3182734  -0.27765558  0.60109561 -0.21539678 -0.42958938
 -0.2484912   0.09579188  0.67687756  0.74968545 -0.13196575 -0.89611585
 -0.23960192  0.10512145 -0.27676378 -0.2485178  -0.59976638  0.56929254
 -0.39123581  0.133859   -0.583523   -0.80921018 -0.28647682  0.82958917
  0.05920902  0.44305492  0.40309183  0.1236879   0.2412566   0.49094536
 -0.37428016  0.72268917]",1.0,4,0,0,0,17000,14,1
20,CMA-ES,"[ 0.07726086  0.11957189 -0.29143131  0.08192699  0.10156282 -0.72930948
 -0.15874521  0.14676134 -0.43823911 -0.02334152  0.60945841  0.4130739
  0.64254579 -0.60218413  0.17881745  0.00470491  0.55903262  0.23094065
  0.33328744  0.81584343  0.44219384 -0.09815984  0.2096492  -0.53029893
  0.62245811  0.28779939  0.70443793  0.25996553 -0.68372009 -0.43806977
  0.57667205  0.27433386]",1.0,5,0,0,0,17000,28,1
21,CMA-ES,"[ 0.75219159 -0.76441897 -0.38082825  0.14415162 -0.48898808  0.51659495
  0.71490849 -0.22526294  0.31289508 -0.05815014  0.82244758  0.27674358
  0.51243038 -0.90785784 -0.03349309 -0.73681063  0.21850827  0.24023893
  0.13984646  0.09319308  0.13711883  0.19988457 -0.82220542  0.13162982
  0.23079026 -0.1321431   0.45638322  0.81058868  1.01251164  0.0885281
 -0.48317223 -0.01924513]",1.0,5,0,0,0,17000,32,1
22,CMA-ES,"[-0.36012202  0.2949549  -0.18704778 -0.39173713 -0.10838152 -0.25651863
 -0.14916181  0.01036937 -0.91201057  0.12620711 -0.06196307  1.16105669
 -0.20661475 -0.90695674  0.38653397  0.07983889 -0.71412479 -0.26535579
 -0.00523816 -0.34363846 -0.00581321  0.99388172  0.92756787 -0.53787477
 -0.31237637  0.19639769  0.55792313 -0.79060083 -0.29001884 -0.06749142
  0.01759786 -0.1732629 ]",0.8138288259506226,3,1,0,0,17720,51,7
23,CMA-ES,"[-0.8382695   0.10824306  0.14915463 -0.03722573 -0.01865117 -0.40743926
 -0.53724438  0.70923029  0.14440041  0.51352391  0.08277366  0.12889519
 -1.37281277 -0.3279342   0.49575883  0.47494156  0.33140439  0.23249981
 -0.17605741 -0.22218795  0.03158308 -0.14235312  0.51750373 -0.51054305
  0.70036826 -0.12093759  0.60796717 -0.36181988  0.0361115   0.49820895
 -0.08133958 -0.06585178]",1.0,6,1,0,0,16460,17,4
24,CMA-ES,"[-0.72549103 -0.09184877  0.43725211  0.61804249  0.02414182  0.29506065
 -0.63955353 -0.92058518  0.16235407  0.66024886 -0.02324654  0.42965664
 -0.18960497  0.25314951 -0.0207994   0.21549514 -0.69960623  0.31481857
  0.11565137  0.0126408   0.07860204 -0.52477136 -0.34152644 -0.41066171
 -0.23984836  1.30289177 -0.85395574 -0.18416423  0.35888141 -0.10293155
  0.38283471 -0.19741581]",1.0,5,1,0,0,17180,19,4
25,CMA-ES,"[-0.71675616  1.54367813 -0.43496237  0.44931856  1.29520044  0.12873958
 -1.996906    0.59079655  0.91924811  0.39482645  0.37451662 -1.03876232
  0.09105649 -0.80773548  0.13606769  0.20792392 -0.71594043  0.62187753
  0.71868806  0.36841175 -1.81494007  0.4393347  -0.42423463 -0.692188
  1.02809922 -0.06434122 -0.29431916  0.03425031 -0.60116947 -0.3622726
  0.69695174  0.21213741]",0.8000783920288086,3,2,0,0,17750,46,8
26,CMA-ES,"[-0.09308328  0.35950842 -0.77378124  0.29099878  0.34895153  0.0388676
  0.21230001  0.75758214  1.43936331 -0.19636849  0.62692372 -0.87220693
  0.07973196 -0.66914319 -0.17575583  0.61762317  0.24390498  0.01315343
  0.81936971 -0.47068454 -1.72412165 -0.74415034 -1.23707953  0.41086964
  0.30580843 -0.0758715  -0.20993086 -0.5124648   0.08457182 -1.1342307
 -0.24238391  0.44000094]",1.0,5,1,0,0,17180,0,3
27,CMA-ES,"[-0.21836321 -0.03311836 -1.00529526  0.22396586  1.04920233 -0.66575299
 -0.79082044 -0.03625451  0.12327864  0.00979176  1.02273026 -1.74851686
  0.12713221 -0.66282726 -0.0328287   1.35181981 -0.46820664  0.72341119
  0.47679889  0.73693826 -1.5920303  -1.01562602 -0.15083954  0.24404525
  0.71653899  1.09784459  0.84977542  0.72970198 -0.51251155  0.04981436
  0.01659502 -0.11679379]",0.8156388998031616,3,1,0,0,17420,41,3
28,CMA-ES,"[-0.89337782  0.08711004 -1.20183823 -0.59088677 -0.01486611 -0.09550002
 -0.37073136 -0.15548933 -0.39367011  1.63037257  0.39119052 -0.49354755
 -0.18648137 -1.38163083  0.36716971  0.32661531 -0.94170814  0.27260789
  0.90104312 -0.38776323 -1.28274738  0.45815    -1.85564162  0.30733677
  1.11506627  0.28495917 -0.55961291  0.00331215 -1.47180764 -0.33724699
 -0.26047159  0.73906776]",1.0,5,0,0,0,17240,19,3
29,CMA-ES,"[-0.78997698  0.59966545 -0.63098718  0.09519452  0.86582459  0.49962127
  0.55522333 -0.06502642  0.5696248  -0.13899613  0.90158714 -0.58667964
  0.32430203 -0.68102657  0.70778564  0.89408779 -0.02728397  0.10283015
  1.37816555  0.37712478 -2.22167824 -0.63768492 -0.14299932  0.72401542
  0.15683036  0.8094721   0.36627051 -0.22491294 -0.62523162  0.02382001
  0.96291845  0.28789121]",0.8156388998031616,3,1,0,0,17420,42,5
30,CMA-ES,"[-0.96681536  0.5914431  -1.23989121  0.04488612  0.74470703 -0.03799747
 -0.47783232  0.33508613 -0.27332636  0.24849151  0.45651036 -0.42920418
  0.15993092 -0.54805682  0.00884405  1.06746832 -0.57657951  0.93883706
  1.03347111 -0.36317862 -1.96835086 -0.52154913 -0.40739704 -0.19928897
  0.84743294  0.34952692 -0.34959015  0.26540304 -0.43540294 -0.03935675
  1.14840578  1.34357599]",1.0,4,1,0,0,16880,5,3
31,CMA-ES,"[-0.18001239  0.57445816 -0.20655326  0.8269761   0.67793665  0.24815054
 -0.76317839  0.06110105 -0.28096839 -0.43547214  0.45591749 -0.55710718
  0.65734303 -0.09559891  0.04626832  0.79471189  0.29758764 -0.62350072
  0.62930613  0.94594558 -0.81847874 -0.03846725 -0.23298672 -0.47054716
  0.96590279  0.37435675  0.93690986  0.19334579  0.04729386 -0.74716187
  0.25694146  0.54955154]",0.7687832713127136,3,1,0,0,17720,17,8
32,CMA-ES,"[-0.67170421 -0.18027795 -1.23311798  0.95529987  0.28099483 -0.50058841
 -0.66630155  0.36041167 -0.04803075 -0.21916224  0.59091654 -1.22492719
  1.35254722  0.47979907  0.80722037  0.9513389  -0.07004924  1.10052108
  0.80669416 -0.28502522 -1.33804694  0.10163511 -0.63606876 -1.21816862
  0.25956535  1.17274907  0.95286945  0.24909428 -0.33957631 -0.01908955
  0.016107    0.52242144]",1.0,6,1,0,0,17000,3,3
33,CMA-ES,"[-1.04591685  0.29953264 -0.77961582  0.41288803 -0.15035824  0.17735247
 -0.06402106 -0.26673558  0.22434107  0.67867207 -0.10337872  0.43138851
  0.22120299 -0.40151736  0.00264768 -0.10182815  0.18816614  0.1408961
  0.54271929 -0.12093481 -0.31510719  0.00720393 -0.79797963  0.4295585
  0.22218361  1.60703481 -0.08713227 -0.02644064 -0.86378914  0.06862269
 -0.45557529  0.46235684]",1.0,5,0,0,0,17300,18,3
34,CMA-ES,"[-0.54452875 -0.09731726 -1.20036301 -0.47607546  0.55005914  0.12694882
 -0.48307811  1.10395282  1.19829689  0.04669363 -0.28794059 -1.24199904
  0.28182163 -0.76751724  0.31264911  1.1374016  -0.50128884  0.75491472
  0.4390208   0.29817277 -1.76969672 -0.72464028 -1.12934869 -0.10780314
 -0.14822589  0.69210645 -0.73727138  0.42751192  0.17492799 -0.64410776
  0.61609574  0.56466926]",1.0,5,1,0,0,17210,0,3
35,CMA-ES,"[ 0.92832092 -0.26085495 -0.18706336  1.04264668  0.21326225 -0.29308314
 -1.15815176 -0.32539073  0.18194853 -1.25851663 -0.16605815 -0.73116657
  0.24524034  0.74012177  0.25844391  0.84549324 -0.62287198  0.11424473
  0.77751876 -0.32770265 -1.59358606  0.20376469 -0.19520034 -1.50769715
  1.18446042 -0.22422045 -0.25893292  0.47431303 -1.94925214  0.15953297
 -0.17543024  0.57319218]",1.0,4,7,0,0,16760,16,11
36,CMA-ES,"[-0.31283934  0.47383405 -1.4520843   0.59337755  1.16809449 -0.2479111
  0.22340223  0.1215978   0.46234222  0.46073208  0.07723749 -0.9164153
  0.79991916 -0.41797533  0.25105284  0.67917207 -0.37118263  0.49988303
  0.82107473  0.46732497 -0.95142723 -1.46223202 -0.42339032  0.45404092
  0.23514855 -0.31796447 -0.04380206  1.07852401 -0.65843682 -0.52173415
  0.31062095  0.84667173]",1.0,4,0,0,0,16880,4,2
